tested,name,timeframe,n,best_arm,meanR,ctrl,edge,t,half1,half2,passed,note,edge_t,p_search,ehalf1,ehalf2
2026-09-18,delayed bump after good+BIG earnings,daily,796,t1R,-0.3613878948567838,-0.1392001796652263,-0.2221877151915574,-5.772576065465149,-0.4278726019528375,-0.3120699173829057,False,"first close above the reaction-day high, 3-20 sessions after a good report",,,,
2026-09-18,breakout 0-3d after earnings,daily,258,t1R,-0.2127555461822863,0.1305111580117304,-0.3432667041940167,-2.1684202001262554,-0.2387802635887627,-0.1901253571331763,False,"the earnings-proximity finding, now with the same-name control",,,,
2026-09-18,"breakout, no earnings nearby (same names)",daily,1833,t1R,-0.3300485693823131,0.1643711626805253,-0.4944197320628384,-7.155130537188461,-0.3978963417115474,-0.2799030146911616,False,"control cohort: same 241 names, breakouts away from earnings",,,,
2026-09-19,1-DTE long ATM straddle at the close before expiry (COHR),daily,152995,"open@fair value, bid/ask<10% & ratio_max>=2",-0.074,-0.302,0.228,-12.1,-0.256,-0.262,False,"UNITS = return on premium, not R; ctrl = ungated base rate. Every exit ~-30%; gate monotonic but never positive; open>close only 29% (25% on 3.06M panel days); hindsight extreme +23% unattainable (10:30 exit captures 49%). data/studies/one_day_straddle_study.md",,,,
2026-09-19,"20d breakout ADR>=3, HIGH-vol regime (panel p80, 1 ADR stop, hold 5)",daily,17281,t1R,-0.2160581465832285,0.1504547943072003,-0.3665129408904288,-5.654347991789424,-0.3522672966600612,-0.115677657251302,False,"Breitstein test 4 (high-vol gate SPLIT, not a new entry); regime = cross-sectional median 20d RV vs expanding-252 p80",,,,
2026-09-19,"20d breakout ADR>=3, LOW-vol regime (panel p80, 1 ADR stop, hold 5)",daily,24514,t1R,-0.2240363627703215,0.1438392372179993,-0.367875599988321,-10.46398637448014,-0.2166066586646824,-0.2286787582501293,False,"Breitstein test 4 (high-vol gate SPLIT, not a new entry); regime = cross-sectional median 20d RV vs expanding-252 p80",,,,
2026-09-19,"boring stock, violent move (drop >= 4x own ADR, ADR bottom tercile)",daily,628,ema20,-0.1579388925971338,-0.6081402553611303,0.4502013627639964,-3.5535041882740313,-0.0071169243157292,-0.2421447061537493,False,"Breitstein test 2; stop = signal-bar low; ctrl = same name, random session, same month",,,,
2026-09-19,"violent move, any ADR (drop >= 4x own ADR)",daily,1644,stop_hold,-0.4174439200645846,-0.8615675381378585,0.4441236180732738,-2.9146730657475963,-1.090215592271462,-0.1018003741230201,False,"Breitstein test 2; stop = signal-bar low; ctrl = same name, random session, same month; A/B leg for the boring-stock cell",,,,
2026-09-19,counter-trend long: >=3 ADR below 20 EMA + prior-bar-high break,daily,9015,stop_hold,-0.1535603548644694,-0.4817532983035609,0.3281929434390914,-1.7256082510423176,-0.2234005646327858,-0.0955351115334007,False,Breitstein test 3,,,,
2026-09-19,"prior-bar-high break in a down leg, <3 ADR below 20 EMA (no extension gate)",daily,155515,ema20,-0.083804489504027,-0.1459969485179216,0.0621924590138945,-4.161372667465028,-0.1020529542687881,-0.0719666383458932,False,Breitstein test 3; B arm of the A/B,,,,
2026-09-19,"precision-tier breakout (house), next-open entry",daily,1944,t1R,-0.2747620368676105,0.1506101206928524,-0.425372157560463,-7.5117105786920995,-0.3534318702129934,-0.2237167251549574,False,"exit_timing pool through the harness; ctrl = same name, random session, same month, same stop %; WARNING month control has look-ahead, R capped at 10 -- see breitstein_tests/precision_tier_control_2026-09-19.md",,,,
2026-09-19,"precision-tier breakout (house), next-open entry, hold 60",daily,1944,t1R,-0.3023959471197827,0.17285681022891,-0.4752527573486926,-7.47397376130136,-0.3961105889544842,-0.2415887367690221,False,"exit_timing pool through the harness; ctrl = same name, random session, same month, same stop %; WARNING month control has look-ahead, R capped at 10 -- see breitstein_tests/precision_tier_control_2026-09-19.md",,,,
2026-09-19,"precision-tier breakout (house), CLOSE entry, hold 60",daily,2023,t1R,-0.2730023763263698,0.2055266001837399,-0.4785289765101098,-6.806141785155734,-0.3028142133913141,-0.2539411612175845,False,"the house process (close entry, stop = day low on the close); ctrl = same name, random session close, same month, same stop %; WARNING month control has look-ahead, R capped at 10 -- see breitstein_tests/precision_tier_control_2026-09-19.md",,,,
2026-09-19,"precision-tier breakout (house): CLOSE entry, stop=day low, ema20 trail, hold 60",daily,1968,ema20,0.3929215420623016,0.2490685818307031,0.1438529602315984,3.292273648180197,0.0868185855977212,0.589246123814814,True,"ctrl=post (random later session, no look-ahead), R cap 20, stop >= 2% of price; vs xname ctrl edge +0.39; at the +/-10 cap t 1.5 (MARGINAL-PASS); the +0.79R headline was tiny-stop trades. breitstein_tests/precision_tier_control_2026-09-19.md",,,,
2026-09-19,in-play up mover (+4% on 2x vol),daily,13331,ema20,-0.0763766853694691,-0.0230161914432023,-0.0533604939262667,-0.4243545893172906,-0.1103025263562814,-0.0564229235214952,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.060 edge -0.017; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,in-play down mover (-4% on 2x vol),daily,13955,ema20,-0.0579025333328167,-0.1476331954668535,0.0897306621340367,-2.6303981959579774,0.063444226386698,-0.1402355946243471,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.041 edge -0.017; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,Bouncy ball (Breitstein short),daily,1404,stop_hold,-0.0849649789606011,-0.2026337581778034,0.1176687792172022,0.4185999336050923,0.0824283357154302,-0.1700101323889179,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.153 edge +0.068; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,"violent move, any ADR (drop >= 4x own ADR)",daily,1644,ema20,-0.1340862460472,-0.1077788508026517,-0.0263073952445483,-3.205043785048717,-0.0821743136599708,-0.1584417103039429,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.072 edge -0.062; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,counter-trend long: >=3 ADR below 20 EMA + prior-bar-high break,daily,9015,trail_bar,-0.1486565262066397,-0.0543790889022456,-0.094277437304394,-2.4468205052593133,-0.1888816971089945,-0.1152363039967426,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.176 edge +0.027; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,"prior-bar-high break in a down leg, <3 ADR below 20 EMA (no extension gate)",daily,155514,ema20,-0.083804489504027,-0.0979009917383279,0.0140965022343009,-4.161372667465028,-0.1020529542687881,-0.0719666383458932,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.111 edge +0.027; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,"precision-tier breakout (house), next-open entry",daily,1944,ema20,-0.0369704795934461,-0.0105254949423251,-0.0264449846511209,-0.5451533154080825,-0.1993281888380673,0.0683761256416134,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.073 edge +0.036; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,"precision-tier breakout (house), next-open entry, hold 60",daily,1944,stop_hold,0.1447111854861493,0.0419801495726934,0.1027310359134559,1.0257726131899207,-0.088462123428427,0.2960068439421722,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl +0.031 edge +0.114; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,"precision-tier breakout (house), CLOSE entry, hold 60",daily,2023,stop_hold,0.1739174069525636,0.1394545720442891,0.0344628349082744,1.1148964026210717,-0.0057365327170062,0.288785282478731,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl +0.119 edge +0.055; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,"earnings drift, good+MUTED",daily,437,stop_hold,0.2724125742214107,0.0265101172109678,0.2459024570104429,2.6518852226349807,0.1860807664343482,0.3268531545050435,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl +0.008 edge +0.264; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,"earnings drift, good+BIG",daily,1069,t1R,0.0384859830645908,0.0043765402771289,0.0341094427874619,1.9897658253395496,0.0406029742201213,0.0369469749547545,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.017 edge +0.056; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,"earnings drift, bad reaction",daily,3684,stop_hold,0.0975214746133095,0.0457681157028621,0.0517533589104473,0.3871940620345013,0.1021486153453914,0.0936930665075988,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl +0.011 edge +0.087; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,delayed bump after good+MUTED earnings,daily,335,ema20,0.2500120645303991,0.0702188409613158,0.1797932235690832,1.6349008738416386,0.4866898011322723,0.1018012488913619,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.054 edge +0.304; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,delayed bump after good+BIG earnings,daily,796,ema20,0.0510598660690285,-0.0244239707075166,0.0754838367765451,0.3891237276135185,-0.2806927514588098,0.2971520703183443,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.203 edge +0.254; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,breakout 0-3d after earnings,daily,256,t1R,-0.1784070763438564,-0.167571188149458,-0.0108358881943983,-1.94309386696602,-0.13693991428954,-0.2138645047671125,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.120 edge -0.058; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,"breakout, no earnings nearby (same names)",daily,1286,t1R,-0.3119796899786631,-0.2457848475303251,-0.0661948424483379,-6.777968075783858,-0.4174271837137538,-0.2303851465505447,False,RERUN 2026-09-19 of the 2026-09-18/19 row with honest controls; ctrl=post (timing); xname ctrl -0.242 edge -0.070; bar = beats BOTH controls + halves + |t|>=3,,,,
2026-09-19,UR reclaim (alert engine),intraday,8296,swing_trail,0.502,0.575,-0.073,3.097,,,False,"RERUN 2026-09-19 with honest controls; ctrl=post (random LATER minute, same name-day); xname = random other name with bars that day, same minute; xname ctrl 0.788 edge -0.286; intraday arms edge +0.01..+0.03 post / -0.02..+0.01 xname",,,,
2026-09-19,ORB9 opening-range break,intraday,2246,swing_trail,0.461,0.691,-0.23,1.232,,,False,"RERUN 2026-09-19 with honest controls; ctrl=post (random LATER minute, same name-day); xname = random other name with bars that day, same minute; xname ctrl 0.312 edge +0.149; intraday arms edge -0.02..+0.04 post / -0.02..+0.03 xname, all arms -0.25..-0.30R",,,,
2026-09-19,LVL pivot break,intraday,685,swing_trail,0.89,1.142,-0.253,2.44,,,False,"RERUN 2026-09-19 with honest controls; ctrl=post (random LATER minute, same name-day); xname = random other name with bars that day, same minute; xname ctrl 0.803 edge +0.087; intraday arms edge within +/-0.015 on both controls",,,,
2026-09-19,Bouncy ball (Breitstein short),intraday,1430,t2R,-0.408,-0.459,0.051,-9.867,-0.435,-0.391,False,"RERUN 2026-09-19 with honest controls; ctrl=post (random LATER minute, same name-day); xname = random other name with bars that day, same minute; xname ctrl -0.422 edge +0.015; every arm -0.41..-0.67R on signal AND both controls: shorting these name-days loses regardless of the trigger",,,,
2026-09-21,universe test 2026-09-21: house breakout in TT,daily,1517,stop_hold,-0.1080391173941702,-0.2462907715760295,0.1382516541818592,-0.0585127756876685,-0.1589804356340333,-0.0818567033287715,False,"pre-registered universe test; house = close entry, day-low stop, hold 60; ctrl=post",,,,
2026-09-21,universe test 2026-09-21: house breakout in AH,daily,2499,t1R,-0.2699222228316632,-0.2115096892934816,-0.0584125335381815,-6.970854701799431,-0.2346659719061395,-0.2902179082635693,False,"pre-registered universe test; house = close entry, day-low stop, hold 60; ctrl=post",,,,
2026-09-21,universe test 2026-09-21: house breakout in INT,daily,1192,stop_hold,0.0768301421403026,-0.1337825118560049,0.2106126539963075,1.8318354112199464,0.0333081799760153,0.1010342620906765,False,"pre-registered universe test; house = close entry, day-low stop, hold 60; ctrl=post",,,,
2026-09-21,universe test 2026-09-21: house breakout in HYB-A,daily,1229,stop_hold,0.195046765858775,-0.0247033088071193,0.2197500746658943,2.8439849930309795,-0.0667851130405547,0.3299983384604025,False,"pre-registered universe test; house = close entry, day-low stop, hold 60; ctrl=post",,,,
2026-09-21,universe test 2026-09-21: house breakout in HYB-B,daily,1221,stop_hold,-0.0477360243297077,-0.1264789475272238,0.0787429231975161,1.7337015876545272,-0.0473128628328134,-0.0479554998822014,False,"pre-registered universe test; house = close entry, day-low stop, hold 60; ctrl=post",,,,
2026-09-21,VWAP rejection short 2nd touch 2026-09-21,intraday,1900,vwap_flip,-0.2576491602708262,-0.2682073145125744,0.0105581542417482,-9.178197363170373,-0.2976132813628843,-0.2159661522500773,False,"pre-registered (SNDK 9/21); flush>=0.3ADR by 10:30, falling VWAP, touch within 0.15%, rejection close <= VWAP-0.1ADR, stop touch-high+0.1ADR; arm 2nd",,,,
2026-09-21,VWAP rejection short 1st touch 2026-09-21,intraday,2703,next_close,-0.2761269499379929,-0.3627077010750376,0.0865807511370447,-3.6224654493700497,-0.4538848080686116,-0.1041950958975986,False,"pre-registered (SNDK 9/21); flush>=0.3ADR by 10:30, falling VWAP, touch within 0.15%, rejection close <= VWAP-0.1ADR, stop touch-high+0.1ADR; arm 1st",,,,
2026-09-21,levels 2026-09-21: PDH BREAK,intraday,5784,vwap_flip,-0.0918047409770594,-0.069590723276914,-0.0222140177001454,-11.124671030144077,-0.0739426319813507,-0.112193071978085,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: PDH HOLD,intraday,5532,time30,-0.0826779686110081,-0.0656188356629203,-0.0170591329480878,-11.255027848494256,-0.0745246558353322,-0.0921848462327633,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: PDL BREAK,intraday,4834,t1R,-0.064755025102555,-0.1036686836135504,0.0389136585109954,-2.554647801962145,-0.0197340089711762,-0.1094789953543039,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: PDL HOLD,intraday,5607,stop_close,-0.0701350256804678,-0.1033215446980359,0.0331865190175681,-2.5586737203569094,-0.0188573228499831,-0.11910630463887,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: EMA21 BREAK,intraday,2736,time30,-0.0884337513709939,-0.0919275193983071,0.0034937680273131,-9.641263503627831,-0.0761544275789834,-0.1012449652152349,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: EMA21 HOLD,intraday,2943,time30,-0.0872883849755585,-0.0881934264575004,0.0009050414819419,-9.903703464216932,-0.0797810107816211,-0.0946994457936115,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: SMA50 BREAK,intraday,1550,vwap_flip,-0.0702045819540492,-0.0648221820819049,-0.0053823998721443,-6.023431344948393,-0.0676507501932474,-0.0727782621482251,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: SMA50 HOLD,intraday,1562,time30,-0.0904455796417125,-0.0827553695932681,-0.0076902100484443,-8.543299200409322,-0.0967490835593151,-0.0840444730828051,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: AVWAP BREAK,intraday,3696,stop_close,-0.0711680026215205,-0.073009625352672,0.0018416227311514,-2.623212217389515,-0.0183208252936997,-0.1293629898210595,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: AVWAP HOLD,intraday,4039,t1R,-0.0637686927728014,-0.0735327635335736,0.0097640707607721,-3.065751845710695,-0.0291601605480924,-0.0994739742581526,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: ORH BREAK,intraday,10427,vwap_flip,-0.0790687252299057,-0.0767481742883873,-0.0023205509415184,-5.540509409793797,-0.0580984353960421,-0.1018211332760052,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-21,levels 2026-09-21: ORH HOLD,intraday,7746,vwap_flip,-0.0772844318057555,-0.0575184000933316,-0.0197660317124238,-6.802198658843805,-0.0581561633985698,-0.0981150541973995,False,pre-registered level_trigger_test_2026-09-21.md,,,,
2026-09-22,close-strength 2026-09-22: WEAK close | house day-low stop,daily,8137,t1R,-0.6204797437892731,-0.6602366782505618,0.0397569344612886,-16.84958097689814,-0.6624979059235027,-0.5917107868166235,False,"pre-registered close-in-range test; house breakout, close entry; ctrl=post",,,,
2026-09-22,close-strength 2026-09-22: STRONG close | house day-low stop,daily,8556,ema20,-0.0195250259096671,0.020568036551404,-0.0400930624610711,1.8092812131974436,-0.1892596377859127,0.1023566953894201,False,"pre-registered close-in-range test; house breakout, close entry; ctrl=post",,,,
2026-09-22,DR-EP 2026-09-22: A catalyst-day close [post],daily,6815,ema20,-0.1725157273076729,-0.1258874304751555,-0.0466282968325173,-4.698036456314502,-0.3496281975938545,-0.0699661297068462,False,pre-registered DR-EP; catalyst = gap>=3% & RVOL>=1.8; retrace = giveback then new high; ctrl=post,,,,
2026-09-22,DR-EP 2026-09-22: B DR-EP catalyst+retrace [post],daily,2702,ema20,-0.0674086401130313,-0.0068837516721928,-0.0605248884408384,0.2109331986374122,-0.1929419175286698,0.0118835145830785,False,pre-registered DR-EP; catalyst = gap>=3% & RVOL>=1.8; retrace = giveback then new high; ctrl=post,,,,
2026-09-23,vcp damped sine N3,daily,1665,trail_bar,-0.0300828235624658,-0.022089042014818,-0.0079937815476477,-1.3940496788179146,-0.0311332853671021,-0.0292342420395022,False,"Gabe damped-sine VCP, 3 decreasing contractions, close>pivot, stop=last trough; ctrl=post",,,,
2026-09-23,kell wedge pop,daily,3588,ema20,0.0720263782729775,0.0683556569689962,0.0036707213039812,0.6111722719650372,-0.0187503315951554,0.1460810626390861,False,"Kell wedge pop per kell_wedge_pop.md s7, stop = base low (floor 0.5 ADR); ctrl=post",,,,
2026-09-23,rmv15 gate on house breakout,daily,16003,t1R,-0.3611796944086536,-0.3212702326561087,-0.0399094617525449,-13.101260635238454,-0.4282741458208369,-0.2979059445156924,False,"WL-3a Deepvue RMV15<=10 in t-3..t-1, house breakout, day-low stop; ctrl=post",0.7967726393168545,0.4937531234382808,-0.0862284377184969,0.0037718746155402
2026-09-23,adx14<=12 gate on house breakout HOLDOUT 2010-2019,daily,440,ema20,0.0678950858005742,-0.1340640123803076,0.2019590981808819,0.4432380739305662,-0.1706273394719429,0.2999998673437859,False,"holdout confirmation of the WL-3a ADX lead; liquid_panel_2009, 2010-01 -> 2019-09; ctrl=post",2.6831906953388587,0.0374812593703148,0.1406163531431556,0.261651365773647
2026-09-23,EP base-break (earnings gap>=5% RVOL>=3 close>252d high),daily,296,t2R,0.1497752362328754,-0.101610807198782,0.2513860434316575,1.4433745940596845,0.0417865508276791,0.215507479522995,False,"WL-5d Qullamaggie EP out of a long base; liquid_panel_2009, 2010+; ctrl=post",2.2821302624358215,0.0434782608695652,0.1362659325748906,0.3214591543879503
2026-09-24,failed-retest breakdown short,daily,1718,t1R,-0.3964292841715595,-0.4495547014006827,0.0531254172291232,-8.725759671881958,-0.3969938746370404,-0.3961072508530402,False,FDX template; first close below the range low after a failed retest; stop 1 ADR close-judged [PRIMARY hold 20]; ctrl=post,0.5300214538295035,0.56071964017991,0.1085962455739603,0.021485749142123
2026-09-24,failed-retest breakdown short,daily,1787,t1R,-0.3802444040970325,-0.4612068159305176,0.080962411833485,-8.656508858469111,-0.3969938746370404,-0.3712575858537265,False,FDX template; first close below the range low after a failed retest; stop 1 ADR close-judged [PRIMARY hold 20]; ctrl=xname,1.458532278560335,0.184407796101949,0.0819275714094293,0.0804445618116541
2026-09-24,long-base breakout (beaten >=30% off 3y high) [post],daily,120,stop_hold,-0.0391847108092062,-0.2327347553246292,0.193550044515423,0.2499853878065832,0.3292641389908533,-0.0958691492399846,False,Gabe 9/24 second rule set; Tito/Luk long base; ctrl=post,1.023092290167871,0.3713143428285857,1.1718317418327742,0.0430451680050611
2026-09-24,long-base breakout (beaten >=30% off 3y high) [xname],daily,124,trail_bar,-0.09288346719239611,-0.15138333489275937,0.058499867700363264,-0.3512951379432054,-0.037551065445059845,-0.10108086004385336,False,Gabe 9/24 second rule set; Tito/Luk long base; ctrl=xname,0.45692007879483215,0.6191904047976012,0.04276580093995193,0.060830840553757544
